4.427940304898772550e-01,1.333087723458569462e-01,1.195949241671470098e-01
4.426966314631528565e-01,1.334244391265840546e-01,1.195820124290686154e-01
4.425968855016864101e-01,1.335414307245401389e-01,1.195686567598808620e-01
4.424948006395686972e-01,1.336594182751658644e-01,1.195548341481859206e-01
4.423903715459790997e-01,1.337780808668723731e-01,1.195405196259857056e-01
4.422835725358373882e-01,1.338971111943947634e-01,1.195256853932116087e-01
4.421743604608065481e-01,1.340162180340705722e-01,1.195103016572762050e-01
4.420626753744859028e-01,1.341351287812044824e-01,1.194943370297553847e-01
4.419484418341266263e-01,1.342535912850267299e-01,1.194777589705995763e-01
4.418315704704330327e-01,1.343713755096234974e-01,1.194605342591747721e-01
4.417119596451987151e-01,1.344882754286863547e-01,1.194426294918336240e-01
4.415894981517141105e-01,1.346041094042113584e-01,1.194240116345946096e-01
4.414640679177074811e-01,1.347187202187472288e-01,1.194046485405018815e-01
4.413355467866676429e-01,1.348319751749725570e-01,1.193845094853534239e-01
4.412038118168075118e-01,1.349437664092080214e-01,1.193635658175383335e-01
4.410687429518371783e-01,1.350540100075967309e-01,1.193417915637928067e-01
4.409302262765995017e-01,1.351626451481876545e-01,1.193191639462907461e-01
4.407881571098350437e-01,1.352696336755273288e-01,1.192956638926876423e-01
4.406424433842746624e-01,1.353749602138757946e-01,1.192712766210868164e-01
4.404930083943969232e-01,1.354786316339556818e-01,1.192459920166309140e-01
4.403397927833082037e-01,1.355806765646917211e-01,1.192198048522471743e-01
4.401827563885015171e-01,1.356811453809967927e-01,1.191927150104821059e-01
4.400218802877087221e-01,1.357801107305894317e-01,1.191647277594096721e-01
4.398571678839253707e-01,1.358776674177418486e-01,1.191358538035366399e-01
4.396886452960599434e-01,1.359739319303114036e-01,1.191061092161258411e-01
4.395163619184112580e-01,1.360690422724740167e-01,1.190755154432976276e-01
4.393403912891590268e-01,1.361631581005540714e-01,1.190440993916177387e-01
4.391608310996218956e-01,1.362564601669169206e-01,1.190118933385997807e-01
4.389778023624712477e-01,1.363491493325005299e-01,1.189789346855070346e-01
4.387914487259629848e-01,1.364414459751398800e-01,1.189452657648585043e-01
4.386019358297023052e-01,1.365335896943775107e-01,1.189109336758740476e-01
4.384094498177888433e-01,1.366258385397629282e-01,1.188759899739526144e-01
4.382141953219200192e-01,1.367184677442374596e-01,1.188404902951731151e-01
4.380163939328725609e-01,1.368117687922576209e-01,1.188044941275205046e-01
4.378162829039691784e-01,1.369060486267019705e-01,1.187680646876618229e-01
